Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
Urban population,Chile,11744086,12402845,13018021,13591764,14037420,14488641,14963678,15441376,16070668,16931587
Urban population,China,342961393,388593258,436766058,491993700,554367818,616481190,679390629,744357517,809246214,866810508
Urban population,Colombia,24532847,26457143,28371575,30258416,32098047,33827174,35492726,37069292,38896985,41470292
Urban population,Comoros,131536,139671,148057,156488,165210,175534,187888,202507,219237,236852
Urban population,"Congo, Dem. Rep.",12644496,14686677,16368488,18626760,21195598,24262452,27835187,32071811,36983500,42376327
Urban population,"Congo, Rep.",1441839,1600727,1756631,1985936,2239991,2549703,2920696,3218363,3530528,3867728
Urban population,Costa Rica,1796095,2028003,2268955,2545843,2834329,3123883,3410168,3678801,3923162,4137983
Urban population,Cote d'Ivoire,5387968,6159428,6986399,7777908,8580987,9411847,10296507,11271041,12505013,13863304
Urban population,Croatia,2383868,2392886,2400611,2315000,2341055,2362537,2368126,2370234,2337248,2329561
Urban population,Cuba,8019798,8159345,8312423,8465223,8562116,8616795,8664868,8709909,8726424,8723461
Urban population,Curacao,124420,129273,125761,117440,124627,131527,135409,139450,142881,137999
Urban population,Cyprus,559952,599856,638398,674708,707981,741066,771857,788952,807728,826935
Urban population,Czechia,7737165,7686196,7622397,7526242,7515659,7621676,7681562,7723921,7805452,7922941
Urban population,Denmark,4406442,4473929,4528106,4582981,4652908,4751268,4844002,4932961,5059173,5138400
Urban population,Djibouti,465801,492170,550211,604662,637777,678931,721944,764703,807720,850998
Urban population,Dominica,44722,44901,44777,44841,45738,46429,47012,48060,49410,51181
Urban population,Dominican Republic,4245405,4682476,5125303,5573543,6174304,6789862,7410669,7986119,8547288,9079123
Urban population,Ecuador,6316767,6862246,7421907,7988495,8497612,9031505,9577064,10095187,10630944,11285898
Urban population,"Egypt, Arab Rep.",26442838,27983881,29885622,31906739,34023734,36101887,38356023,40950796,43469157,45976808
Urban population,El Salvador,2895285,3203963,3456982,3607607,3722193,3864044,4070597,4276749,4466558,4621633
Urban population,Equatorial Guinea,196608,245770,310156,396461,499293,624295,772460,907703,1039364,1166712
Urban population,Eritrea,416395,527371,606439,721965,880640,1021965,1147380,1249275,1340124,1470245
Urban population,Estonia,1055960,992487,966817,953352,931205,913914,902194,897427,905267,920415
Urban population,Eswatini,204363,221218,232361,235644,236222,240262,250919,260626,272016,285376
Urban population,Ethiopia,7191947,8312232,9470740,10744849,12162781,13927358,16283910,18949891,21975004,25424568
Urban population,Faroe Islands,14699,15370,16210,17799,19211,19624,19881,20113,21053,22223
Urban population,Fiji,346718,368654,391249,413829,436333,458642,478549,496380,512280,526914
Urban population,Finland,4073879,4162332,4232899,4290649,4349276,4426008,4543014,4651843,4699884,4728699
Urban population,France,44076650,44866400,45749812,47215240,48737209,50131182,51375729,52647802,53654868,54715704
Urban population,French Polynesia,127794,132630,138531,144826,155635,165995,173695,178657,182541,187115
Urban population,Gabon,777724,870476,969061,1078294,1202441,1349725,1525981,1723968,1904278,2065425
Urban population,"Gambia, The",485853,566091,655810,756286,863723,986934,1126672,1281189,1442972,1610858
Urban population,Georgia,2667710,2407551,2198282,2086373,2091919,2107603,2100564,2122558,2170854,2213266
Urban population,Germany,59647492,60725922,61376500,62174878,62660267,62875807,61940177,62510392,63861626,64410589
Urban population,Ghana,6431766,7297486,8281305,9398332,10642858,12005167,13468281,15062212,16745249,18455138
Urban population,Gibraltar,27118,27491,27695,27892,29155,30398,31701,32452,32602,32709
Urban population,Greece,7518737,7663691,7812670,7991509,8180275,8371303,8511794,8463623,8466513,8528388
Urban population,Greenland,44438,45335,45708,46473,47175,47196,48217,48308,48630,49198
Urban population,Grenada,34723,36396,37869,38869,39576,40354,41208,42397,43730,45183
Urban population,Guam,133273,140517,147222,151727,153957,154703,156021,158243,159668,160665
Urban population,Guatemala,4208693,4635095,5089420,5588466,6074432,6568347,7072123,7597137,8153103,8738685
Urban population,Guinea,2035617,2287263,2501110,2695142,2948327,3237696,3575843,3948091,4381346,4869400
Urban population,Guinea-Bissau,355442,396269,432702,475752,526457,585325,651781,727221,807291,890915
Urban population,Guyana,219038,218897,218172,216829,211366,204412,196477,198400,202552,213539
Urban population,Haiti,2305891,2579837,2872473,3372373,3885132,4361621,4827045,5356730,5903901,6454827
Urban population,Honduras,2305540,2596333,2911705,3271979,3675267,4096745,4530522,4975954,5435026,5906960
Urban population,"Hong Kong SAR, China",5901000,6435500,6606500,6744100,6813200,6957800,7071600,7229500,7393200,7481000
Urban population,Hungary,6780138,6710863,6623887,6611324,6694281,6820246,6916190,6928924,6955524,7014452
Urban population,Iceland,240747,246857,255931,266425,276072,296449,298556,306653,322016,344101
Urban population,India,242620668,263686524,285648480,310207535,337558628,364989009,393333604,423338709,455009748,487702168
Urban population,Indonesia,64822542,74981531,86069860,95899743,105117659,115006628,125020092,134866535,144572428,153983073
Urban population,"Iran, Islamic Rep.",34968280,37628601,40824119,44077717,47413957,50925490,54356195,58236086,62866706,66230561
Urban population,Iraq,13343444,14843067,16303387,18012216,19734937,20139353,22427635,25633615,27844960,30169923
Urban population,Ireland,2056779,2116049,2211944,2345367,2515791,2744952,2827835,2903635,3026107,3173345
Urban population,Isle of Man,36602,37280,38689,40020,41220,42604,43872,43762,43844,44459
Urban population,Israel,4769938,5176476,5582264,6000381,6342289,6702316,7136149,7566988,8045513,8531985
Urban population,Italy,37964793,38086153,38226137,38447500,39267369,40056298,40641670,42109853,42462869,42224765
Urban population,Jamaica,1232875,1288103,1339001,1378509,1413678,1447087,1481009,1519915,1555222,1588216
Urban population,Japan,97049554,98272808,99434460,104055019,109856670,114107975,116416235,116208079,116223820,115884871
Urban population,Jordan,3125292,3604906,3874377,4130531,4513583,5551184,6197912,7792223,9270152,9990818
Urban population,Kazakhstan,9171866,8714928,8363622,8357267,8552467,8942684,9421048,9874723,10342139,10816580
Urban population,Kenya,4480388,5130728,5858183,6749693,7768972,8934612,10219218,11559254,13001604,14553419
Urban population,Kiribati,28346,30968,36260,40187,42751,47519,52996,58381,64107,70306
Urban population,"Korea, Dem. People's Rep.",12808195,13364401,13768157,14081401,14413592,14691216,15008319,15351564,15737956,16136385
Urban population,"Korea, Rep.",33872973,35810625,37006183,38258247,39195731,40093884,40909592,41463573,41861498,42201956
Urban population,Kuwait,1620837,1674787,1856062,2047364,2235403,2650930,3143825,3761584,4124904,4360444
Urban population,Kyrgyz Republic,1667475,1669279,1708661,1761468,1821882,1876703,1949521,2079480,2239720,2425088
Urban population,Lao PDR,772605,919707,1120931,1347931,1591188,1772834,1967246,2173853,2405044,2656210
Urban population,Latvia,1763518,1686883,1630787,1567452,1522383,1476965,1397904,1354815,1322185,1298292
Urban population,Lebanon,3213784,3434835,3650130,3834805,4022130,4254276,4413617,5518096,5402350,5035754
Urban population,Lesotho,296077,343530,379664,411432,439957,474734,515736,555281,601912,654320
Urban population,Liberia,1109233,946912,1227152,1377790,1504172,1781757,2015022,2232447,2431748,2650072
Urban population,Libya,3448996,3665564,3858443,4142047,4499920,4835208,4843884,4817782,5090937,5369132
Urban population,Liechtenstein,4997,5105,5027,5022,5100,5159,5215,5310,5424,5587
Urban population,Lithuania,2482228,2421184,2362861,2300933,2213967,2137953,2020994,1967853,1909625,1901807
Urban population,Luxembourg,325361,343082,359223,380583,402818,429035,460842,500042,541038,576537
Urban population,"Macao SAR, China",380206,404216,425518,449665,488619,529038,571003,604167,638609,676283
Urban population,Madagascar,3287705,3730842,4224215,4761337,5414776,6291521,7281030,8362745,9557640,10876290
Urban population,Malawi,1288103,1405222,1593638,1742456,1920235,2128693,2373696,2658225,2988658,3376840
Urban population,Malaysia,10117305,11786345,13587168,15416400,17263520,19150609,20898466,22519314,24124786,25617115
Urban population,Maldives,63057,68620,75463,87808,103619,119964,137977,158802,186048,209217
Urban population,Mali,2340883,2631763,3018112,3562610,4225685,5006021,5902462,6879609,8028117,9319264
Urban population,Malta,336862,346401,356901,367875,378170,384526,391879,409992,442474,488246
Urban population,Marshall Islands,32334,34560,36636,37939,38654,39077,39219,38008,36161,33773
Urban population,Mauritania,871381,937086,1001440,1114008,1268535,1448147,1673772,1929389,2197486,2488943
Urban population,Mauritius,477687,489444,502932,511325,517242,519756,519046,518495,516592,516027
Urban population,Mexico,62905040,67471815,71712596,76056158,80460988,84700556,89164082,93808838,98108030,101719689
Urban population,"Micronesia, Fed. Sts.",27165,27112,25374,25008,24773,24253,24064,24420,24966,25709
Urban population,Moldova,1382725,1361649,1318545,1274866,1235763,1224475,1218343,1214457,1172526,1129127
Urban population,Monaco,31024,31719,32394,32386,32141,31862,33945,36110,37044,36922
Urban population,Mongolia,1291716,1337852,1375083,1479408,1599381,1727329,1864863,1978651,2116539,2261792
Urban population,Montenegro,312816,332459,348560,369361,383698,391621,399777,407105,413735,419307
Urban population,Morocco,13050229,14045468,14935781,15820051,16790498,17995882,19275316,20636838,21994745,23309111
Urban population,Mozambique,3761674,4504365,5014119,5506970,6063132,6735426,7683170,8821392,10129295,11559020
Urban population,Myanmar,10768428,11421649,12090526,12731400,13337081,13891315,14477757,15142977,15854871,16636518
Urban population,Namibia,435179,500234,566399,637679,719037,807205,909166,1027878,1158740,1295152
Urban population,Nauru,10226,10345,10383,10351,10318,10243,10283,10940,11682,12315
Urban population,Nepal,2126523,2585980,3104086,3607302,3981931,4329273,4664736,4993160,5449547,6038773
Urban population,Netherlands,10871452,11436659,12021931,12775902,13485107,14044865,14669707,15126226,15602670,16087342
Urban population,New Caledonia,110705,119477,128790,138724,148559,160140,171852,184770,190260,194858
Urban population,New Zealand,3045443,3198324,3295923,3402067,3569251,3675355,3774624,3896881,4162127,4413152
Urban population,Nicaragua,2440202,2626940,2779251,2917907,3051074,3214997,3393970,3582406,3778085,3986789
Urban population,Niger,1435039,1609273,1808603,2024807,2250365,2508220,2802629,3141947,3554150,4045711
Urban population,Nigeria,32047445,36310411,41060367,47308171,54895345,63546553,73409645,84275849,95817238,108242753
Urban population,North Macedonia,1183978,1184171,1185212,1174317,1171843,1170314,1175261,1184330,1197983,1212058
Urban population,Northern Mariana Islands,42974,47846,68642,69690,62508,54506,47808,47331,46432,45520
Urban population,Norway,3150384,3244905,3371823,3482266,3591141,3744286,3935476,4145335,4320306,4463566
Urban population,Oman,1471938,1583413,1655567,1719313,1820999,1963882,2443090,3213227,3795173,3919863
Urban population,Pakistan,39332499,44041395,49074335,54497125,59255126,64313863,69912136,74593651,78853074,84437669
Urban population,Palau,11581,12644,13679,13865,14110,14019,13773,13795,14156,14555
Urban population,Panama,1472090,1634638,1808577,1959794,2105243,2256550,2413758,2581031,2759313,2937968
Urban population,Papua New Guinea,619920,665287,711736,775701,851930,931864,1014863,1099324,1194221,1301089
Urban population,Paraguay,2230121,2486529,2748887,2992166,3156489,3308734,3482053,3683303,3895863,4115703
Urban population,Peru,16480645,17778086,19067264,20186530,21120020,21907680,22584945,23425055,24563784,26076625
Urban population,Philippines,30880736,32971674,35242317,37362913,39430017,41478745,43854945,46703825,49827667,53187498
Urban population,Poland,23616843,23768665,23842562,23621395,23453429,23300939,23134846,22960228,22824769,22755739
Urban population,Portugal,4961312,5210104,5491367,5800192,6041725,6267228,6457743,6546012,6659350,6827994
Urban population,Puerto Rico,3377742,3496557,3583400,3604909,3596360,3533033,3449657,3310445,3112035,3070914
Urban population,Qatar,457865,504686,589414,689594,826610,1417399,1778949,2189397,2686753,2739268
Urban population,Romania,12309016,12127405,11945687,11469356,11336529,11001524,10871606,10730940,10565369,10440610
Urban population,Russian Federation,108940535,108700642,107987927,106569238,105433226,105055527,105407937,106354644,107349517,107700434
Urban population,Rwanda,578074,763822,1126468,1404622,1526528,1655603,1791521,1928885,2094446,2291674
Urban population,Samoa,36581,38198,39879,40948,40023,39362,38989,38634,38312,38449
Urban population,San Marino,21966,23229,24586,26270,27871,29246,31183,32240,33059,33156
Urban population,Sao Tome and Principe,59883,67154,74402,83244,95658,109066,122908,136694,149719,162568
Urban population,Saudi Arabia,13953434,15316652,16727051,18167507,19756968,22402324,24814831,26651368,28592972,30340882
Urban population,Senegal,3222966,3515172,3808203,4134178,4577718,5099067,5689594,6347549,7084752,7909390
Urban population,Serbia,3942353,3951731,3962104,3989274,4009310,4009546,3994308,3963388,3927608,3894281
Urban population,Seychelles,35718,38024,40396,42595,42813,45755,46973,50219,53922,56661
Urban population,Sierra Leone,1458601,1507103,1583485,1856043,2098230,2319217,2595229,2887123,3196631,3534267
Urban population,Singapore,3313471,3670704,3958723,4175950,4265762,4839396,5183688,5469724,5612253,5685807
Urban population,Sint Maarten (Dutch part),31823,31410,31084,30777,33011,33964,33435,37685,40574,42310
Urban population,Slovak Republic,3017265,3034659,3037635,3011770,2985293,2964549,2937801,2926070,2923642,2934665
Urban population,Slovenia,1007206,1007220,1005959,1014358,1030904,1055309,1085605,1104335,1121491,1158811
Urban population,Solomon Islands,50500,57405,64964,74813,86037,98752,113557,130801,149877,170517
Urban population,Somalia,2033292,2375118,2756649,3198834,3800778,4121412,5008903,5680248,6598376,7630345
Urban population,South Africa,22760041,24549143,26154780,27595063,29182849,30923017,32906089,35197669,37298236,39605450
Urban population,South Sudan,784140,869420,958020,1120657,1314452,1549034,1847027,2088586,2061940,2142352
Urban population,Spain,29793326,30291556,30767125,31708814,33727737,35833174,36773882,36890017,37311863,38276186
Urban population,Sri Lanka,3295777,3379037,3434609,3506624,3600908,3703550,3798768,3869404,3953813,4101702
Urban population,St. Kitts and Nevis,14131,14449,14777,15015,14965,14903,14837,14760,14705,14694
Urban population,St. Lucia,43341,43981,44266,42600,38179,33936,31761,32307,32974,33770
Urban population,St. Vincent and the Grenadines,48474,49992,51096,52089,52696,53150,53651,54053,54657,55488
Urban population,Sudan,7120388,7703691,8316235,8988199,9677493,10555557,11429725,12466023,13981657,15666605
Urban population,Suriname,278463,293596,312248,330069,344226,354957,365940,376497,388030,401567
